date,team1,team2,team1mean
9/25/2020,Seattle Mariners,Oakland Athletics,5.053571428571429
9/25/2020,Milwaukee Brewers,St. Louis Cardinals,5.053571428571429
9/25/2020,Baltimore Orioles,Toronto Blue Jays,5.053571428571429
9/25/2020,Colorado Rockies,Arizona Diamondbacks,5.053571428571429
9/25/2020,Philadelphia Phillies,Tampa Bay Rays,5.053571428571429
9/25/2020,Miami Marlins,New York Yankees,5.053571428571429
9/25/2020,Boston Red Sox,Atlanta Braves,5.053571428571429
9/25/2020,Pittsburgh Pirates,Cleveland Indians,5.053571428571429
9/25/2020,San Diego Padres,San Francisco Giants,5.053571428571429
9/25/2020,Chicago Cubs,Chicago White Sox,5.053571428571429
9/25/2020,Detroit Tigers,Kansas City Royals,5.053571428571429
9/25/2020,Houston Astros,Texas Rangers,5.053571428571429
9/25/2020,Cincinnati Reds,Minnesota Twins,5.053571428571429
9/25/2020,St. Louis Cardinals,Milwaukee Brewers,5.053571428571429
9/25/2020,Los Angeles Angels,Los Angele Dodgers,5.053571428571429
9/25/2020,Colorado Rockies,Arizona Diamondbacks,5.053571428571429
9/25/2020,San Francisco Giants,San Diego Padres,5.053571428571429
