date,team1,team2
9/25/2020,Seattle Mariners,Oakland Athletics
9/25/2020,Milwaukee Brewers,St. Louis Cardinals
9/25/2020,Baltimore Orioles,Toronto Blue Jays
9/25/2020,Colorado Rockies,Arizona Diamondbacks
9/25/2020,Philadelphia Phillies,Tampa Bay Rays
9/25/2020,Miami Marlins,New York Yankees
9/25/2020,Boston Red Sox,Atlanta Braves
9/25/2020,Pittsburgh Pirates,Cleveland Indians
9/25/2020,San Diego Padres,San Francisco Giants
9/25/2020,Chicago Cubs,Chicago White Sox
9/25/2020,Detroit Tigers,Kansas City Royals
9/25/2020,Houston Astros,Texas Rangers
9/25/2020,Cincinnati Reds,Minnesota Twins
9/25/2020,St. Louis Cardinals,Milwaukee Brewers
9/25/2020,Los Angeles Angels,Los Angeles Dodgers
9/25/2020,Colorado Rockies,Arizona Diamondbacks
9/25/2020,San Francisco Giants,San Diego Padres
